model,prompt_index,method,n_tokens,is_correct,spearman,kendall_tau_b,top10_jaccard
LLaMA-3.2 1B,31,Temperature Scope,99,True,0.5506493506493506,0.38363224077509794,0.42857142857142855
LLaMA-3.2 1B,31,Semantic Scope,99,True,0.5435250463821892,0.38074623788909506,0.5384615384615384
LLaMA-3.2 1B,31,Input × Gradient,99,True,0.544700061842919,0.38569367140795713,0.3333333333333333
LLaMA-3.2 1B,31,Fisher Scope (k=4),99,True,0.5325046382189239,0.3720882292310864,0.42857142857142855
LLaMA-3.2 1B,31,Integrated Gradients,99,True,0.44326530612244897,0.31436817151102864,0.25
LLaMA-3.2 1B,31,Random,99,True,-0.0733951762523191,-0.04968047825190683,0.0
LLaMA-3.2 1B,32,Temperature Scope,71,True,0.3177397719651241,0.2144869215291751,0.23076923076923078
LLaMA-3.2 1B,32,Semantic Scope,71,True,0.2883635144198524,0.1887323943661972,0.06666666666666667
LLaMA-3.2 1B,32,Input × Gradient,71,True,0.3108987256874581,0.20724346076458755,0.06666666666666667
LLaMA-3.2 1B,32,Fisher Scope (k=4),71,True,0.36418511066398385,0.2571428571428572,0.14285714285714285
LLaMA-3.2 1B,32,Integrated Gradients,71,True,0.18725687458081822,0.1251509054325956,0.14285714285714285
LLaMA-3.2 1B,32,Random,71,True,0.06763916834339369,0.0398390342052314,0.06666666666666667
LLaMA-3.2 1B,33,Temperature Scope,66,True,0.46489927982465307,0.32773892773892777,0.5555555555555556
LLaMA-3.2 1B,33,Semantic Scope,66,True,0.4684062206450267,0.3361305361305361,0.5555555555555556
LLaMA-3.2 1B,33,Input × Gradient,66,True,0.4122534182235676,0.29976689976689974,0.5555555555555556
LLaMA-3.2 1B,33,Fisher Scope (k=4),66,True,0.48710990502035284,0.3641025641025641,0.5555555555555556
LLaMA-3.2 1B,33,Integrated Gradients,66,True,0.4090387224715583,0.30536130536130535,0.5555555555555556
LLaMA-3.2 1B,33,Random,66,True,-0.017179835090282855,-0.006993006993006993,0.07692307692307693
LLaMA-3.2 1B,34,Temperature Scope,68,True,0.5588426155666679,0.4056189640035118,0.4
LLaMA-3.2 1B,34,Semantic Scope,68,True,0.5283429400313012,0.36874451273046527,0.16666666666666666
LLaMA-3.2 1B,34,Input × Gradient,68,True,0.5348322326984005,0.37664618086040386,0.16666666666666666
LLaMA-3.2 1B,34,Fisher Scope (k=4),68,True,0.5762110165286101,0.40649692712906055,0.2727272727272727
LLaMA-3.2 1B,34,Integrated Gradients,68,True,0.23731725006680154,0.16856892010535554,0.16666666666666666
LLaMA-3.2 1B,34,Random,68,True,0.07798602893461082,0.04302019315188762,0.07692307692307693
LLaMA-3.2 1B,35,Temperature Scope,83,False,0.7143906637000964,0.5116074052306787,0.5
LLaMA-3.2 1B,35,Semantic Scope,83,False,0.6701020108307796,0.45048486629444606,0.38461538461538464
LLaMA-3.2 1B,35,Input × Gradient,83,False,0.6627345619411443,0.4540111666176902,0.5
LLaMA-3.2 1B,35,Fisher Scope (k=4),83,False,0.6772805507745265,0.4687040846312077,0.5
LLaMA-3.2 1B,35,Integrated Gradients,83,False,0.39645690777045456,0.2747575668527769,0.125
LLaMA-3.2 1B,35,Random,83,False,-0.05121531421854665,-0.03496914487217161,0.125
LLaMA-3.2 1B,36,Temperature Scope,78,True,0.39758975202013175,0.27938727938727936,0.6
LLaMA-3.2 1B,36,Semantic Scope,78,True,0.34804436070258854,0.2440892440892441,0.45454545454545453
LLaMA-3.2 1B,36,Input × Gradient,78,True,0.30929829664006875,0.21345321345321347,0.45454545454545453
LLaMA-3.2 1B,36,Fisher Scope (k=4),78,True,0.354544189987228,0.24875124875124874,0.45454545454545453
LLaMA-3.2 1B,36,Integrated Gradients,78,True,0.29290962202354603,0.19946719946719949,0.45454545454545453
LLaMA-3.2 1B,36,Random,78,True,-0.027655888415382086,-0.017649017649017648,0.06666666666666667
LLaMA-3.2 1B,37,Temperature Scope,77,False,0.4863031705136968,0.33492822966507174,0.23076923076923078
LLaMA-3.2 1B,37,Semantic Scope,77,False,0.7387612387612388,0.5543403964456596,0.45454545454545453
LLaMA-3.2 1B,37,Input × Gradient,77,False,0.6516115463483884,0.4764183185235817,0.3333333333333333
LLaMA-3.2 1B,37,Fisher Scope (k=4),77,False,0.7213050107786949,0.530416951469583,0.6
LLaMA-3.2 1B,37,Integrated Gradients,77,False,0.009884851990115146,0.006151742993848256,0.14285714285714285
LLaMA-3.2 1B,37,Random,77,False,-0.07742257742257742,-0.05468215994531783,0.0
LLaMA-3.2 1B,38,Temperature Scope,74,True,0.7298185857089965,0.5490559052202888,0.45454545454545453
LLaMA-3.2 1B,38,Semantic Scope,74,True,0.7259977786005183,0.5364679748241392,0.45454545454545453
LLaMA-3.2 1B,38,Input × Gradient,74,True,0.7020066641984448,0.5186967789707516,0.45454545454545453
LLaMA-3.2 1B,38,Fisher Scope (k=4),74,True,0.7283968900407255,0.5453535727508331,0.45454545454545453
LLaMA-3.2 1B,38,Integrated Gradients,74,True,0.27360236949278044,0.18326545723805998,0.6
LLaMA-3.2 1B,38,Random,74,True,-0.023561643835616434,-0.014439096630877455,0.14285714285714285
LLaMA-3.2 1B,39,Temperature Scope,63,False,0.5305299539170507,0.372247823860727,0.2727272727272727
LLaMA-3.2 1B,39,Semantic Scope,63,False,0.6980606758832565,0.5227854582693291,0.4
LLaMA-3.2 1B,39,Input × Gradient,63,False,0.6489535330261136,0.4746543778801843,0.4
LLaMA-3.2 1B,39,Fisher Scope (k=4),63,False,0.7090053763440861,0.533026113671275,0.4
LLaMA-3.2 1B,39,Integrated Gradients,63,False,0.28566628264208915,0.18177163338453656,0.16666666666666666
LLaMA-3.2 1B,39,Random,63,False,-0.07584485407066052,-0.05069124423963133,0.07692307692307693
LLaMA-3.2 1B,40,Temperature Scope,69,True,0.5827183047131896,0.42199488491048587,0.5555555555555556
LLaMA-3.2 1B,40,Semantic Scope,69,True,0.45162586773839974,0.3171355498721228,0.4
LLaMA-3.2 1B,40,Input × Gradient,69,True,0.5591523565948119,0.40409207161125316,0.75
LLaMA-3.2 1B,40,Fisher Scope (k=4),69,True,0.6179758860065766,0.44842284739982946,0.75
LLaMA-3.2 1B,40,Integrated Gradients,69,True,0.2242236024844721,0.15601023017902813,0.07692307692307693
LLaMA-3.2 1B,40,Random,69,True,0.10990135184508587,0.07246376811594202,0.07692307692307693
LLaMA-3.2 1B,41,Temperature Scope,97,True,0.4203266358089628,0.2985395189003437,0.3333333333333333
LLaMA-3.2 1B,41,Semantic Scope,97,True,0.40854460340837356,0.29209621993127155,0.3333333333333333
LLaMA-3.2 1B,41,Input × Gradient,97,True,0.409504523458868,0.28737113402061865,0.3333333333333333
LLaMA-3.2 1B,41,Fisher Scope (k=4),97,True,0.4316089837997054,0.3084192439862543,0.3333333333333333
LLaMA-3.2 1B,41,Integrated Gradients,97,True,0.17102356406480115,0.12156357388316154,0.3333333333333333
