alpha,bos_1_mass,bos_2_mass,bos_plus_2_content_mass
0.66,0.041954025626182556,0.08212979137897491,0.20580585300922394
0.67,0.04164928197860718,0.0815843939781189,0.20808738470077515
0.68,0.04129084572196007,0.08092857152223587,0.21010100841522217
0.6900000000000001,0.04089318588376045,0.08018758147954941,0.21187306940555573
0.7000000000000001,0.04046781733632088,0.07938230782747269,0.21342800557613373
0.7100000000000001,0.04002346470952034,0.07852936536073685,0.2147865891456604
0.72,0.03956611827015877,0.07764085382223129,0.21596527099609375
0.73,0.03909946605563164,0.07672502845525742,0.21697621047496796
0.74,0.03862621635198593,0.0757884755730629,0.21782870590686798
0.75,0.038148559629917145,0.07483694702386856,0.2185313105583191
0.76,0.03766825422644615,0.07387552410364151,0.2190910130739212
0.77,0.0371878445148468,0.07291057705879211,0.21951651573181152
0.78,0.036709558218717575,0.07194801419973373,0.21981516480445862
0.79,0.03623632341623306,0.07099484652280807,0.219996839761734
0.8,0.03577065467834473,0.07005706429481506,0.22006884217262268
0.81,0.03531524911522865,0.06914106756448746,0.22004002332687378
0.8200000000000001,0.03487246856093407,0.06825220584869385,0.21991735696792603
0.8300000000000001,0.034444235265254974,0.06739501655101776,0.21970804035663605
0.8400000000000001,0.03403228893876076,0.06657324731349945,0.21941791474819183
0.85,0.03363762050867081,0.06578925997018814,0.2190522998571396
0.86,0.033260785043239594,0.0650443583726883,0.21861521899700165
0.87,0.03290226683020592,0.06433941423892975,0.21811074018478394
0.88,0.03256181627511978,0.0636739432811737,0.21754179894924164
0.89,0.032238952815532684,0.06304682791233063,0.21691210567951202
0.9,0.03193303197622299,0.062456682324409485,0.21622343361377716
0.91,0.03164323791861534,0.0619015097618103,0.21547938883304596
0.92,0.03136858716607094,0.06137919798493385,0.21468274295330048
0.93,0.031108060851693153,0.060887403786182404,0.21383672952651978
0.9400000000000001,0.030860649421811104,0.060423869639635086,0.21294493973255157
0.9500000000000001,0.030625343322753906,0.059986263513565063,0.2120114117860794
0.9600000000000001,0.030401114374399185,0.05957232043147087,0.21103985607624054
0.97,0.030187029391527176,0.0591798759996891,0.21003440022468567
0.98,0.02998228743672371,0.05880722776055336,0.2090001404285431
0.99,0.02978602796792984,0.05845233052968979,0.207941472530365
